0,211,1
0,212,1
0,213,1
0,214,1
0,215,1
0,216,1
0,217,1
0,218,1
0,219,1
0,220,1
1,211,1
1,212,1
1,213,1
1,214,1
1,215,1
1,216,1
1,217,1
1,218,1
1,219,1
1,220,1
2,211,1
2,212,1
2,213,1
2,214,1
2,215,1
2,216,1
2,217,1
2,218,1
2,219,1
2,220,1
3,211,1
3,212,1
3,213,1
3,214,1
3,215,1
3,216,1
3,217,1
3,218,1
3,219,1
3,220,1
4,211,1
4,212,1
4,213,1
4,214,1
4,215,1
4,216,1
4,217,1
4,218,1
4,219,1
4,220,1
5,211,1
5,212,1
5,213,1
5,214,1
5,215,1
5,216,1
5,217,1
5,218,1
5,219,1
5,220,1
6,211,1
6,212,1
6,213,1
6,214,1
6,215,1
6,216,1
6,217,1
6,218,1
6,219,1
6,220,1
7,211,1
7,212,1
7,213,1
7,214,1
7,215,1
7,216,1
7,217,1
7,218,1
7,219,1
7,220,1
8,211,1
8,212,1
8,213,1
8,214,1
8,215,1
8,216,1
8,217,1
8,218,1
8,219,1
8,220,1
9,211,1
9,212,1
9,213,1
9,214,1
9,215,1
9,216,1
9,217,1
9,218,1
9,219,1
9,220,1
10,211,1
10,212,1
10,213,1
10,214,1
10,215,1
10,216,1
10,217,1
10,218,1
10,219,1
10,220,1
11,211,1
11,212,1
11,213,1
11,214,1
11,215,1
11,216,1
11,217,1
11,218,1
11,219,1
11,220,1
12,211,1
12,212,1
12,213,1
12,214,1
12,215,1
12,216,1
12,217,1
12,218,1
12,219,1
12,220,1
13,211,1
13,212,1
13,213,1
13,214,1
13,215,1
13,216,1
13,217,1
13,218,1
13,219,1
13,220,1
14,211,1
14,212,1
14,213,1
14,214,1
14,215,1
14,216,1
14,217,1
14,218,1
14,219,1
14,220,1
15,211,1
15,212,1
15,213,1
15,214,1
15,215,1
15,216,1
15,217,1
15,218,1
15,219,1
15,220,1
16,211,1
16,212,1
16,213,1
16,214,1
16,215,1
16,216,1
16,217,1
16,218,1
16,219,1
16,220,1
17,211,1
17,212,1
17,213,1
17,214,1
17,215,1
17,216,1
17,217,1
17,218,1
17,219,1
17,220,1
18,211,1
18,212,1
18,213,1
18,214,1
18,215,1
18,216,1
18,217,1
18,218,1
18,219,1
18,220,1
19,211,1
19,212,1
19,213,1
19,214,1
19,215,1
19,216,1
19,217,1
19,218,1
19,219,1
19,220,1
20,211,1
20,212,1
20,213,1
20,214,1
20,215,1
20,216,1
20,217,1
20,218,1
20,219,1
20,220,1
21,211,1
21,212,1
21,213,1
21,214,1
21,215,1
21,216,1
21,217,1
21,218,1
21,219,1
21,220,1
22,211,1
22,212,1
22,213,1
22,214,1
22,215,1
22,216,1
22,217,1
22,218,1
22,219,1
22,220,1
23,211,1
23,212,1
23,213,1
23,214,1
23,215,1
23,216,1
23,217,1
23,218,1
23,219,1
23,220,1
24,211,1
24,212,1
24,213,1
24,214,1
24,215,1
